"","morphotype","isolate","tree_sp","time","rep","pixels_per_cm","group","ppc_squared","threshold","leaf1","leaf2","area_pixels","area_cm","description","notes","threshold.1","leaf1.1","leaf2.1","area_pixels.1","area_cm.1","description.1","notes.1"
"1","SNPV","COL","DO",0,1,67.4036349168203,"control",4543.25,"128",1028,1134,2162,0.475870797336708,"init","",120,1016,1131,2147,NA,NA,NA
"2","SNPV","COL","DO",0,1,67.4036349168203,"treatment",4543.25,"135",1253,1154,2407,0.529796951521488,"init","",NA,NA,NA,NA,NA,NA,NA
"3","SNPV","COL","DO",0,2,67.4011869331691,"control",4542.92,"132",1272,1095,2367,0.521030526621644,"init","",NA,NA,NA,NA,NA,NA,NA
"4","SNPV","COL","DO",0,2,67.4011869331691,"treatment",4542.92,"139",930,1140,2070,0.455654072710944,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"5","SNPV","COL","DO",0,3,67.6047335620813,"control",4570.4,"137",1224,1199,2423,0.530150533870121,"init","",NA,NA,NA,NA,NA,NA,NA
"6","SNPV","COL","DO",0,3,67.6047335620813,"treatment",4570.4,"148",1122,987,2109,0.461447575704534,"init","",NA,NA,NA,NA,NA,NA,NA
"7","SNPV","COL","DO",0,4,67.5296231294089,"control",4560.25,"141",1170,1746,2916,0.639438627268242,"init","",NA,NA,NA,NA,NA,NA,NA
"8","SNPV","COL","DO",0,4,67.5296231294089,"treatment",4560.25,"146",962,953,1915,0.41993311770188,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"9","SNPV","COL","DO",0,5,67.4074179894172,"control",4543.76,"136",1256,1511,2767,0.608967022906139,"init","",NA,NA,NA,NA,NA,NA,NA
"10","SNPV","COL","DO",0,5,67.4074179894172,"treatment",4543.76,"141",1032,1289,2321,0.510810430128352,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"11","SNPV","COL","DO",0,6,67.9018409176069,"control",4610.66,"143",1089,1072,2161,0.468696455605054,"init","",NA,NA,NA,NA,NA,NA,NA
"12","SNPV","COL","DO",0,6,67.9018409176069,"treatment",4610.66,"157",1226,1056,2282,0.494939986899923,"init","",NA,NA,NA,NA,NA,NA,NA
"13","SNPV","COL","DO",0,7,67.5,"control",4556.25,"136",1383,1247,2630,0.577229080932785,"init","",NA,NA,NA,NA,NA,NA,NA
"14","SNPV","COL","DO",0,7,67.5,"treatment",4556.25,"141",1199,1224,2423,0.531796982167352,"init","",NA,NA,NA,NA,NA,NA,NA
"15","SNPV","COL","DO",0,8,67.5,"control",4556.25,"139",1269,1641,2910,0.638683127572016,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"16","SNPV","COL","DO",0,8,67.5,"treatment",4556.25,"140",952,1031,1983,0.43522633744856,"init","",NA,NA,NA,NA,NA,NA,NA
"17","SNPV","COL","DO",0,9,67.5125173578945,"control",4557.94,"138",1573,1536,3109,0.682106390167488,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"18","SNPV","COL","DO",0,9,67.5125173578945,"treatment",4557.94,"139",890,990,1880,0.41246703554676,"init","",NA,NA,NA,NA,NA,NA,NA
"19","SNPV","COL","DO",0,10,67.5,"control",4556.25,"143",1737,1531,3268,0.717256515775034,"init","",NA,NA,NA,NA,NA,NA,NA
"20","SNPV","COL","DO",0,10,67.5,"treatment",4556.25,"145",1353,1346,2699,0.592373113854595,"init","",NA,NA,NA,NA,NA,NA,NA
"21","SNPV","COL","DO",0,11,67.5026666139939,"control",4556.61,"128",849,1349,2198,0.482376152446665,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"22","SNPV","COL","DO",0,11,67.5026666139939,"treatment",4556.61,"138",1203,1101,2304,0.505639060617433,"init","",NA,NA,NA,NA,NA,NA,NA
"23","SNPV","COL","DO",0,12,67.505999733357,"control",4557.06,"131",790,1148,1938,0.42527418993825,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"24","SNPV","COL","DO",0,12,67.505999733357,"treatment",4557.06,"137",1215,1194,2409,0.528630301115193,"init","",NA,NA,NA,NA,NA,NA,NA
"25","SNPV","COL","DO",0,13,67.505999733357,"control",4557.06,"139",1072,1474,2546,0.558693543644367,"init","",NA,NA,NA,NA,NA,NA,NA
"26","SNPV","COL","DO",0,13,67.505999733357,"treatment",4557.06,"137",1273,1265,2538,0.556938025832445,"init","",NA,NA,NA,NA,NA,NA,NA
"27","SNPV","COL","DO",0,14,67.505999733357,"control",4557.06,"128",1429,1348,2777,0.609384120463632,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"28","SNPV","COL","DO",0,14,67.505999733357,"treatment",4557.06,"124",1326,1252,2578,0.565715614892058,"init","",NA,NA,NA,NA,NA,NA,NA
"29","SNPV","COL","DO",0,15,67.6047335620813,"control",4570.4,"111",1207,1445,2652,0.580255557500438,"init","",NA,NA,NA,NA,NA,NA,NA
"30","SNPV","COL","DO",0,15,67.6047335620813,"treatment",4570.4,"119",1103,1143,2246,0.491423070190793,"init","",NA,NA,NA,NA,NA,NA,NA
"31","SNPV","COL","DO",0,16,67.4145384913373,"control",4544.72,"133",1174,1324,2498,0.549648823249837,"init","",NA,NA,NA,NA,NA,NA,NA
"32","SNPV","COL","DO",0,16,67.4145384913373,"treatment",4544.72,"143",1172,1296,2468,0.543047756517453,"init","",NA,NA,NA,NA,NA,NA,NA
"33","SNPV","COL","DO",24,1,85.8037295226729,"control",7362.28,"125",952,1220,2172,0.295017304422,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"34","SNPV","COL","DO",24,1,85.8037295226729,"treatment",7362.28,"133",1698,1300,2998,0.407210809694823,"change","filled flash; removed shadow",NA,NA,NA,NA,NA,NA,NA
"35","SNPV","COL","DO",24,2,85.7009334838309,"control",7344.65,"135",1748,1754,3502,0.476809650561974,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"36","SNPV","COL","DO",24,2,85.7009334838309,"treatment",7344.65,"135",1399,1874,3273,0.445630492943844,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"37","SNPV","COL","DO",24,3,85.8009323958662,"control",7361.8,"138",861,1345,2206,0.299654975685294,"change","",NA,NA,NA,NA,NA,NA,NA
"38","SNPV","COL","DO",24,3,85.8009323958662,"treatment",7361.8,"128",1086,583,1669,0.226710858757369,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"39","SNPV","COL","DO",24,4,85.9014551681169,"control",7379.06,"128",1378,2579,3957,0.536247164272956,"tiny change","",NA,NA,NA,NA,NA,NA,NA
"40","SNPV","COL","DO",24,4,85.9014551681169,"treatment",7379.06,"140",1624,1506,3130,0.424173268681919,"no change","",NA,NA,NA,NA,NA,NA,NA
"41","SNPV","COL","DO",24,5,85.8009323958662,"control",7361.8,"137",1155,1918,3073,0.417425086256079,"change","",NA,NA,NA,NA,NA,NA,NA
"42","SNPV","COL","DO",24,5,85.8009323958662,"treatment",7361.8,"137",1275,1222,2497,0.339183351897634,"change","",NA,NA,NA,NA,NA,NA,NA
"43","SNPV","COL","DO",24,6,85.8009323958662,"control",7361.8,"142",1610,1481,3091,0.41987014045478,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"44","SNPV","COL","DO",24,6,85.8009323958662,"treatment",7361.8,"138",1710,1078,2788,0.378711728109973,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"45","SNPV","COL","DO",24,7,85.8014568640883,"control",7361.89,"130",1983,1538,3521,0.47827392150657,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"46","SNPV","COL","DO",24,7,85.8014568640883,"treatment",7361.89,"132",1351,985,2336,0.31730982125514,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"47","SNPV","COL","DO",24,8,85.9009313104346,"control",7378.97,"131",1629,1931,3560,0.482452157957005,"tiny change","",NA,NA,NA,NA,NA,NA,NA
"48","SNPV","COL","DO",24,8,85.9009313104346,"treatment",7378.97,"125",897,1058,1955,0.264942126069086,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"49","SNPV","COL","DO",24,9,85.8005244739215,"control",7361.73,"132",1164,1176,2340,0.317860068217661,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"50","SNPV","COL","DO",24,9,85.8005244739215,"treatment",7361.73,"133",830,812,1642,0.223045398296324,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"51","SNPV","COL","DO",24,10,85.9009313104346,"control",7378.97,"137",1898,1596,3494,0.473507820197128,"change","",NA,NA,NA,NA,NA,NA,NA
"52","SNPV","COL","DO",24,10,85.9009313104346,"treatment",7378.97,"137",1402,1626,3028,0.410355374801632,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
